Site,Site_code,Burnt,Habitat,date2,altitude,Barbilophozia,Bartramia,Calliergonella,Calypogeia,Cephalozia,Cephaloziella,Campylopus_all,Ceratodon,Crateneuron folicinium,Dicranella,Dicranum,Diplophyllum,Entodon,Gymnocolea,Hylocomium splendens,Hypnum,Juggermania,Leucobryum,Lophocolea_bidentata,Microlejeunea,Odontoschisma,Orthodontium,Pleurozium scheberi,Polytrichium,Pogonatum,Racomitrum languinosum,Rhytiadelphis loreus,Sphagnum,Cladonia_sp,Thuidium,Dung
EM,EM193,Y,DH,230,480,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frequent
EM,EM194,Y,DH,230,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frequent
EM,EM208,N,WH,185,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,Rare
EM,EM209,N,WH,196,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
EM,EM210,Y,WH,196,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rare
EM,EM212,N,DH,230,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,Occaisional
EM,EM213,N,DH,230,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,None
EM,EM227,N,WH,232,312,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
EM,EM229,N,WH,232,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,None
EM,EM245,N,DH,232,420,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
EM,EM246,N,DH,232,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frequent
EM,EM73,Y,WH,229,377,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Abundant
EM,EM74,Y,WH,229,417,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Abundant
EM,EM79,N,WH,219,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None
EM,EM91,N,DH,180,554,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,None
