,Achnanthes,Achnanthidium,Amphora,Ankistrodesmus,Ankyra,Aphanocapsa,Aphanochaete,Aphanothece,Aulacoseira,Botryococcus,Bumilleriopsis,Chamaesiphon,Characiochloris,Characiopsis,Characium,Chlamydomonas,Chromulina,Chroomonas,Closteriopsis,Closterium,Cocconeis ,Cosmarium,Cryptomonas,Cyclotella,Cymbella,Denticula,Diadesmis,Encyonema,Epithemia ,Euglena,Eunotia,Fragilaria,Frustulia,Gomphonema,Gomphosphaeria,Gymnodinium,Gyrosigma,Haematococcus,Hapalosiphon,Hydrococcus,Katodinium,Kirchneriella,Lagerheimia,Lyngbya,Melosira,Meridion,Merismopedia,Microcystis,Microthamnion,Monoraphidium,Mougeotia,Navicula,Netrium,Nitzschia,Nostoc,Oedogonium,Ophiocytium,Oscillatoria,Pandorina,Pediastrum,Phacus,Phormidium,Pinnularia,Protoderma,Pseudostaurosira,Quadrigula,Radiococcus,Rhabdoderma ,Rhoicosphenia,Scenedesmus,Spirulina,Staurosirella,Stephanodiscus,Stichococcus,Surirella,Synedra,Synura,Tetraedron,Tetrastrum,Trachelomonas,Treubaria,Unknown
JLBC,0,0,63181986.79,31329829.11,0,126730662.1,0,500876564.6,0,0,0,12982300.38,5598679.245,4049044.811,0,0,0,0,0,0,7203882792,0,0,0,0,0,0,0,0,2845215.988,0,16707169.81,0,323387745.4,0,0,0,0,0,0,0,0,0,296969418.8,0,0,0,0,0,0,0,91825702.09,0,12495052.36,0,0,0,163495486.6,0,0,77057933.01,0,8150943.396,4655368977,0,0,0,0,258128640,0,0,0,0,0,199940033.2,0,0,0,0,10802929.46,0,30887528.3
JLBX,0,0,0,29114294.29,0,0,5256009151,0,0,0,0,213832692,2458328681,748131574.4,0,0,0,0,0,0,36486005243,0,0,0,0,0,0,0,0,6546328852,0,0,0,362157763.4,0,0,0,0,0,0,0,0,0,3583775532,0,0,0,0,0,0,0,0,0,0,35743816.64,0,0,1983411298,0,0,0,0,0,7020469907,0,0,0,0,2160361328,0,0,0,0,0,0,0,0,0,0,0,0,550423516.5
JLC,0,20533737.52,0,0,0,0,2002809423,0,0,0,0,0,0,54893610.52,0,0,0,0,0,0,75955129255,0,0,0,330217732.3,0,69301364.12,0,0,0,0,1991277911,0,1311069587,0,0,0,0,0,0,0,0,0,0,0,0,0,1440052358,0,0,0,3003412356,0,133629713.7,0,0,0,1210846670,0,0,0,0,0,0,0,0,0,0,2073156368,0,0,0,0,0,136249904.1,0,0,0,0,0,0,208969711.2
JLCAC,0,235027718.9,0,45869740.05,0,356001943.7,0,314950679.9,0,0,0,0,0,4035782.222,0,0,0,0,0,0,0,0,0,0,140415338.5,0,0,0,0,0,914470824,62554624.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116659329.9,2044688705,0,0,0,0,0,345605256.4,0,0,0,0,0,0,0,0,57833491.57,15898952.59,2098092.643,0,1792996.993,0,0,0,0,371276757.9,0,0,0,0,0,393867121.2
JLCAX,0,200131359.5,0,0,0,579253772.6,0,0,0,0,0,0,0,48246676.3,0,0,0,0,0,0,24675932212,310947357.7,0,0,0,0,0,0,0,0,18825721169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606711739,0,256714530.9,0,0,0,0,0,718925985.1,0,0,137485477.9,0,337286005.4,0,0,0,0,0,0,0,0,0,0,0,0,1079195690
JLX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3115311556,0,0,0,0,0,0,0,0,0,0,29506544.97,0,61791614.87,0,0,0,0,0,0,0,658628.236,0,483239.0213,139840138.2,0,0,0,0,0,0,234395408.3,0,0,0,0,0,2460125.927,0,0,0,0,0,0,0,0,0,0,27525973.57,0,4674582.592,0,0,0,0,0,0,0,0,0,0,28090567.27
JPGC,0,0,0,0,2129245.244,0,42870273.65,0,0,0,0,0,0,2324657.604,1520889.46,0,0,0,0,0,1918420100,0,0,0,98488238.78,0,0,0,0,0,0,101883141.9,0,96279713.88,0,0,0,0,0,0,0,0,0,40448884.55,0,0,0,0,0,2406094.654,0,223640689.3,0,0,0,0,0,131447102,0,0,0,0,0,0,0,0,0,0,252480226.4,3101115.606,2549989.771,0,43968363.62,0,0,0,0,0,0,0,0,76370608.26
JPGX,0,0,260469731.8,0,0,0,0,0,2543247229,0,0,0,0,1059698563,0,0,0,0,31572088.7,0,36083092546,0,0,0,3526576150,0,0,0,0,530755827.6,0,0,0,5480444528,0,0,183482719.4,0,0,0,0,32215786.02,0,488780326.8,0,0,0,0,0,31572088.7,0,6829724572,0,1484962826,0,15426913816,0,545247303.3,0,234729885.9,0,0,1214311104,0,0,0,0,0,3835731836,413180002.1,0,0,0,0,0,19186115443,0,0,0,0,0,3325200413
JUBC,0,0,0,0,0,0,14140027.84,0,0,0,0,2900518.53,36024843,261227815.9,0,0,0,0,0,0,379297424.3,0,0,0,0,0,0,0,0,8061082.543,0,0,0,28012173.39,0,0,0,0,0,0,0,0,0,4361381.534,0,0,0,0,0,0,0,64455967.34,0,2658808.653,0,0,0,223501524.2,0,0,118659135,0,0,0,0,0,0,0,64595907.4,0,157498.9484,0,0,0,0,0,0,0,0,0,0,47697415.83
JUBX,0,0,0,0,0,0,536298117.1,0,0,0,0,11669780.45,16391793.31,22213639.1,0,0,0,0,0,0,228846501.2,0,0,0,12645590.65,0,0,0,0,233401922.4,0,0,0,47866057.77,0,0,0,17593323.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16898013.25,0,0,0,41616196.97,0,0,0,0,0,0,0,0,0,0,19308894.23,0,759915.4604,0,0,0,0,0,25874667.36,0,0,35794401.94,0,50816693.12
